亲和美园 大产权 电梯房 可以贷款必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
出售 恒益隆庭 两室带电梯 南北通透 中间楼层必看好房,2室2厅 | 90.26平米 | 南 北 | 精装 | 中楼层(共6层) | 板楼,87万9,639元/平
南北通透 采光好 精装修 一口价 已改地暖诚心出售必看好房,2室2厅 | 87.25平米 | 南 北 | 精装 | 高楼层(共11层) | 板楼,96.8万11,095元/平
奥体南 婚房装修 直接入住，诚心卖 采光好必看好房,2室1厅 | 69.13平米 | 南 | 精装 | 中楼层(共25层) | 板楼,92万13,309元/平
金瀚园毛坯二楼 , 前后无遮挡 , 标准H户型 .必看好房,2室1厅 | 92.64平米 | 南 北 | 毛坯 | 低楼层(共6层) | 板楼,103万11,119元/平
河西 户口，楼龄新间距大，停车位充足低，楼层采光好必看好房,1室1厅 | 53.76平米 | 南 | 精装 | 高楼层(共6层) | 板楼,80万14,881元/平
商品房小高层精装一室 户型方正 业主诚意出售必看好房,1室1厅 | 58.15平米 | 南 | 精装 | 11层 | 板塔结合,50万8,599元/平
出售大寺佳和华庭电梯房一室一厅楼层好采光好必看好房,1室1厅 | 61.37平米 | 南 | 简装 | 中楼层(共11层) | 板楼,45万7,333元/平
旭辉双阳两室完善社区楼层好视野宽阔必看好房,2室1厅 | 82.19平米 | 南 | 其他 | 中楼层(共28层) | 板塔结合,89万10,829元/平
中交开发 万科物业 两室好楼层 毛坯 满五唯一必看好房,2室2厅 | 82.99平米 | 南 北 | 毛坯 | 17层 | 板塔结合,97万11,689元/平
嘉园精装修一室盛和嘉园中间楼层私产能拎包入住必看好房,1室1厅 | 66.04平米 | 南 | 精装 | 29层 | 塔楼,58万8,783元/平
精装修，全阳户型，采光好，居住体验好必看好房,2室1厅 | 86.56平米 | 南 | 精装 | 中楼层(共11层) | 板楼,93万10,744元/平
美域豪庭商品房，1梯2户，出行方便，户型方正，诚意卖必看好房,2室1厅 | 99.61平米 | 南 北 | 简装 | 低楼层(共9层) | 板楼,188万18,874元/平
店长主推房源 过五年 精装修 难遏必通透 采光好必看好房,2室2厅 | 89.35平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,160万17,908元/平
富力津门湖云舒花园低楼层三居出售必看好房,3室2厅 | 142.84平米 | 南 北 | 精装 | 低楼层(共26层) | 板楼,263万18,413元/平
假日1楼带院 前后院 有钥匙随看 万科物业 全明户型必看好房,2室1厅 | 92.78平米 | 东 西 | 简装 | 低楼层(共11层) | 板塔结合,199万21,449元/平
中间楼层阳面1居室 看房方便价格可议必看好房,1室1厅 | 44.65平米 | 南 | 简装 | 中楼层(共6层) | 板楼,51.5万11,535元/平
中交樾公馆 万科物业 边户三居室 诚心出售 欢迎看房必看好房,3室1厅 | 97.82平米 | 南 北 | 简装 | 17层 | 板塔结合,121万12,370元/平
贝壳金选 正荣润璟湾 前排看运河 精装修中间层两室必看好房,2室1厅 | 81.45平米 | 南 | 精装 | 中楼层(共27层) | 板楼,125万15,347元/平
本房毛坯纯新未住，房主诚心出售，有钥匙看房方便必看好房,3室1厅 | 92.14平米 | 南 北 | 毛坯 | 高楼层(共18层) | 板塔结合,91万9,877元/平
此房满五唯一，精装修，房主诚意出售，家里干净必看好房,3室2厅 | 113.02平米 | 南 | 精装 | 高楼层(共5层) | 板楼,125万11,060元/平
两室 业主自住 精装修 随时提前联系看房必看好房,2室1厅 | 77.35平米 | 南 | 其他 | 低楼层(共18层) | 板楼,66.6万8,611元/平
此房不满两年 朝向好 交房自带装修 低总价必看好房,2室1厅 | 52.43平米 | 东 南 | 其他 | 中楼层(共30层) | 板楼,36万6,867元/平
诚心出售 金友花园边户精装修视野开阔值得购买必看好房,2室1厅 | 79.39平米 | 东 南 | 精装 | 高楼层(共18层) | 板楼,75万9,448元/平
7号线两室洋房，南通通透，2楼带露台必看好房,2室2厅 | 88.39平米 | 北 南 | 其他 | 低楼层(共6层) | 板楼,96万10,861元/平
柳兰花苑 采光好 通风好 业主诚心卖必看好房,2室1厅 | 67.66平米 | 南 | 简装 | 高楼层(共6层) | 板楼,50万7,390元/平
境界梅江 2室2厅 南 北必看好房,2室2厅 | 87.25平米 | 南 北 | 其他 | 高楼层(共18层) | 板楼,155万17,766元/平
正荣精装三房 全新未启 静候主人归家必看好房,3室2厅 | 94.24平米 | 南 | 简装 | 中楼层(共24层) | 板楼,140万14,856元/平
云锦观锦园二期，采光好，精装全明大两室必看好房,2室1厅 | 86.09平米 | 南 | 精装 | 高楼层(共26层) | 板楼,106万12,313元/平
电梯房 带阳台 采光不错 停车方便 生活成本低必看好房,1室1厅 | 63.72平米 | 南 | 简装 | 高楼层(共22层) | 板塔结合,52万8,161元/平
江湾广场 70年产权 功能分明 户型使用必看好房,1室1厅 | 57.45平米 | 东南 | 精装 | 低楼层(共30层) | 板楼,70万12,185元/平
诚心出售，无土地出让金，精装 大三室必看好房,3室1厅 | 120.19平米 | 南 北 | 简装 | 中楼层(共24层) | 板塔结合,105万8,737元/平
单价1.2万的水西公园旁社区随时看房，诚意满满哈必看好房,2室2厅 | 116.87平米 | 南 北 | 简装 | 高楼层(共6层) | 板楼,110万9,413元/平
中间楼层，景观很好，看房特方便，正常税费必看好房,3室2厅 | 177.72平米 | 南 北 | 简装 | 中楼层(共24层) | 板楼,450万25,321元/平
临地铁带电梯阳面1居室楼位好近门口交通便利必看好房,1室1厅 | 55.69平米 | 南 西 | 简装 | 低楼层(共18层) | 板楼,65万11,672元/平
万科南苑一期，真翡翠系精装，电梯洋房中间层，省个税必看好房,3室2厅 | 125.11平米 | 南 北 | 精装 | 11层 | 板楼,222万17,745元/平
近南站 交通出行便利 好楼层 电梯一居室必看好房,1室1厅 | 67.13平米 | 南 北 | 其他 | 高楼层(共25层) | 板楼,56万8,343元/平
华亭佳园 电梯小高 通透户型 中间楼层 价格可议必看好房,2室2厅 | 85.66平米 | 南 北 | 简装 | 中楼层(共11层) | 板楼,110万12,842元/平
电梯洋房，全新装修家具家电全新一次没用过 拎包入住必看好房,3室1厅 | 128.89平米 | 南 北 | 精装 | 中楼层(共7层) | 板楼,247万19,164元/平
建工集团、南北通透H户型、中间位置、中间楼层必看好房,2室1厅 | 88.92平米 | 南 北 | 其他 | 中楼层(共5层) | 板楼,165万18,557元/平
旭辉御府全阳两室 总价低 过五唯一省个税必看好房,2室2厅 | 82.19平米 | 南 | 简装 | 低楼层(共28层) | 板塔结合,79万9,612元/平
地铁八号线，全明两居，业主置换改善必看好房,2室1厅 | 91.79平米 | 南 北 | 精装 | 中楼层(共5层) | 板楼,129万14,054元/平
出售亲和良园电梯房全明户型采光无遮挡必看好房,2室1厅 | 75.17平米 | 东南 南 | 其他 | 中楼层(共24层) | 板楼,64万8,515元/平
小高层 一梯两户 h户型 过五年 产权清晰必看好房,2室1厅 | 83.59平米 | 南 北 | 精装 | 11层 | 板塔结合,83万9,930元/平
金地二期H+1户型 不临街不把边 带车位急售必看好房,3室2厅 | 123.97平米 | 南 北 | 精装 | 11层 | 板楼,227万18,311元/平
萍姐推荐经典L飘窗瞰景高层，没租过诚心卖，随时看房必看好房,2室2厅 | 93.19平米 | 南 | 简装 | 高楼层(共18层) | 板塔结合,78万8,370元/平
天津南站 精装上叠边户带电梯 改善好选择必看好房,3室1厅 | 129.05平米 | 南 北 | 精装 | 中楼层(共4层) | 板塔结合,232万17,978元/平
店长力推 燕南园洋房 楼层好 位置好 精装修拎包入住必看好房,3室2厅 | 94.63平米 | 南 北 | 精装 | 高楼层(共11层) | 板楼,129万13,633元/平
西子精装三室 满五年 中楼层视野佳 下楼就是公园必看好房,3室2厅 | 138.99平米 | 南 北 | 精装 | 中楼层(共31层) | 塔楼,289万20,793元/平
保利大品牌，一期，精装修，未住过人，边户，随时看房必看好房,3室2厅 | 89.78平米 | 南 东 北 | 精装 | 18层 | 板塔结合,159万17,710元/平
好房九区低楼层南北通透 方正户型 没有遮挡采光好必看好房,2室1厅 | 90.89平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,89万9,793元/平
中楼层 经典H户型 南北通透 有车位必看好房,2室2厅 | 94.76平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,162万17,096元/平
次新房，中间楼层，价格可议，诚意出售，外环以内必看好房,1室1厅 | 65.02平米 | 南 | 其他 | 25层 | 板塔结合,50万7,690元/平
中低楼层 采光好 随时看房 诚心出售必看好房,1室1厅 | 61.63平米 | 南 | 精装 | 低楼层(共16层) | 板楼,67万10,872元/平
四室临湖 直观梅江公园 老梅江顶跃房 二片梧桐必看好房,4室2厅 | 273.2平米 | 南 北 | 毛坯 | 高楼层(共27层) | 板楼,700万25,623元/平
国风星苑一期 自住精装两室 小区中间位置 有车位必看好房,2室2厅 | 84.57平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,130万15,372元/平
满五年，出行方便，配套齐全，而且位置好必看好房,3室1厅 | 91.76平米 | 南 北 | 精装 | 低楼层(共18层) | 板楼,145万15,803元/平
中骏电梯洋房 中楼层次新房 好位置 方便看房必看好房,3室2厅 | 103.21平米 | 南 | 毛坯 | 13层 | 板楼,110万10,658元/平
只要给价就能谈，一步梅江。业主着急必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
梅江康城电梯房 低楼层 边户 靠小区门口出行便利必看好房,2室1厅 | 88.86平米 | 南 西 北 | 其他 | 低楼层(共24层) | 板楼,98万11,029元/平
珑园一期精装修三室，好楼位采光好，通透户型唯一必看好房,3室2厅 | 154.01平米 | 南 北 | 精装 | 22层 | 板塔结合,166万10,779元/平
万科翡翠嘉和 通透三室 有车位 家具家电可议必看好房,3室2厅 | 103.85平米 | 南 北 | 精装 | 25层 | 板楼,200万19,259元/平
五期酩悦,精装三室小区中间位置,中楼层,有钥匙随时看必看好房,3室2厅 | 88.85平米 | 南 北 | 精装 | 8层 | 板楼,134万15,082元/平
精装修，全阳户型，采光好，居住体验好必看好房,2室1厅 | 86.56平米 | 南 | 精装 | 中楼层(共11层) | 板楼,93万10,744元/平
美域豪庭商品房，1梯2户，出行方便，户型方正，诚意卖必看好房,2室1厅 | 99.61平米 | 南 北 | 简装 | 低楼层(共9层) | 板楼,188万18,874元/平
中北镇精装三居室 观运河 视野好必看好房,3室1厅 | 93.43平米 | 南 北 | 精装 | 中楼层(共27层) | 板楼,150万16,055元/平
中交樾公馆 万科物业 边户三居室 诚心出售 欢迎看房必看好房,3室1厅 | 97.82平米 | 南 北 | 简装 | 17层 | 板塔结合,121万12,370元/平
大楼间距，通透两居，独立餐厅，新装修，看房方便必看好房,2室2厅 | 94.46平米 | 南 北 | 精装 | 低楼层(共21层) | 板楼,91.8万9,719元/平
假日1楼带院 前后院 有钥匙随看 万科物业 全明户型必看好房,2室1厅 | 92.78平米 | 东 西 | 简装 | 低楼层(共11层) | 板塔结合,199万21,449元/平
中间楼层阳面1居室 看房方便价格可议必看好房,1室1厅 | 44.65平米 | 南 | 简装 | 中楼层(共6层) | 板楼,51.5万11,535元/平
此房满两年，东侧隔条马路是南站，小区主打公园系列必看好房,3室2厅 | 108.56平米 | 南 北 | 精装 | 21层 | 板塔结合,160万14,739元/平
金谊花园 此房无遮挡 采光好 税费少 诚心出售必看好房,2室1厅 | 81.75平米 | 南 北 | 简装 | 高楼层(共26层) | 塔楼,53万6,484元/平
水溪苑 带装修 一室 诚心出售必看好房,1室1厅 | 62.95平米 | 南 | 简装 | 中楼层(共9层) | 板楼,69万10,962元/平
正荣润景湾一期，距离小区门口近，业主诚意卖必看好房,2室1厅 | 81.88平米 | 南 | 精装 | 低楼层(共25层) | 板楼,105万12,824元/平
福雅花园9楼 全阳户型 产权清晰 私产满五 随时可看必看好房,2室1厅 | 73.48平米 | 南 | 简装 | 中楼层(共18层) | 塔楼,89万12,113元/平
三室双卫 楼间距大 采光视野好 诚心出 满五唯一税费少必看好房,3室2厅 | 127.74平米 | 南 北 | 精装 | 低楼层(共27层) | 板楼,169万13,230元/平
中间楼层，南北通透，业主诚心卖，价格可以商量有钥匙必看好房,2室2厅 | 95.54平米 | 南 北 | 毛坯 | 中楼层(共20层) | 板楼,124万12,979元/平
一楼带院带车位 精装洋房，采光充足，交通便利必看好房,3室1厅 | 93.99平米 | 南 | 精装 | 低楼层(共7层) | 板楼,140万14,896元/平
顺通家园一室户型方正 出行便利 配套设施齐全必看好房,1室1厅 | 53.09平米 | 南 | 其他 | 高楼层(共18层) | 板楼,50万9,418元/平
佳和雅庭 2室1厅 南 北必看好房,2室1厅 | 70.98平米 | 南 北 | 精装 | 中楼层(共28层) | 塔楼,54万7,608元/平
亲和美园 大产权 电梯房 可以贷款必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
北苑电梯洋房 一楼带院精装好房拎包入住必看好房,3室1厅 | 123.54平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,185万14,975元/平
美域兰庭九层小高 一梯两户 满五年 精装修 产权清晰必看好房,2室2厅 | 98.04平米 | 南 北 | 精装 | 高楼层(共9层) | 板楼,184万18,768元/平
急售可随时过户 实用面积大 带车位 近小区口出入方便必看好房,3室2厅 | 183.57平米 | 南 北 | 其他 | 高楼层(共4层) | 板楼,298万16,234元/平
楼。王。纯次新房，交房到现在没住过人。随时看房必看好房,3室2厅 | 110.3平米 | 南 北 | 精装 | 26层 | 板塔结合,165万14,960元/平
环内洋房 阳面一居室价格低私产能贷款必看好房,1室1厅 | 35.25平米 | 南 | 简装 | 中楼层(共6层) | 板楼,38.2万10,837元/平
龙湖天街，双地铁，万科物业，精装修两室必看好房,2室1厅 | 64.52平米 | 东南 | 精装 | 高楼层(共34层) | 板塔结合,134万20,769元/平
保利拾光年 三室 30万的全屋智能定制精致装修 满两年必看好房,3室2厅 | 86.74平米 | 南 北 | 精装 | 16层 | 板楼,142万16,371元/平
河西天塔 双地铁 中间楼层 户型好 采光好必看好房,2室1厅 | 83.66平米 | 南 北 | 精装 | 中楼层(共6层) | 板楼,155万18,528元/平
金谊花园 两室一厅 好楼层 毛坯房 价格可议必看好房,2室1厅 | 81.76平米 | 东 南 | 其他 | 高楼层(共26层) | 塔楼,57万6,972元/平
顺通家园 环内电梯房 采光视野好 第1次交易 随时过户必看好房,1室1厅 | 53.93平米 | 南 | 简装 | 中楼层(共26层) | 板楼,46万8,530元/平
出售 恒益隆庭 两室带电梯 南北通透 中间楼层必看好房,2室2厅 | 90.26平米 | 南 北 | 精装 | 中楼层(共6层) | 板楼,87万9,639元/平
南北通透 采光好 精装修 一口价 已改地暖诚心出售必看好房,2室2厅 | 87.25平米 | 南 北 | 精装 | 高楼层(共11层) | 板楼,96.8万11,095元/平
奥体南 婚房装修 直接入住，诚心卖 采光好必看好房,2室1厅 | 69.13平米 | 南 | 精装 | 中楼层(共25层) | 板楼,92万13,309元/平
中交开发 万科物业 两室好楼层 毛坯 满五唯一必看好房,2室2厅 | 82.99平米 | 南 北 | 毛坯 | 17层 | 板塔结合,97万11,689元/平
视野开阔 采光充足 不靠后 配套成熟 医院地铁成熟必看好房,2室1厅 | 78.65平米 | 南 | 简装 | 高楼层(共6层) | 板楼,75万9,536元/平
出售大寺佳和华庭电梯房一室一厅楼层好采光好必看好房,1室1厅 | 61.37平米 | 南 | 简装 | 中楼层(共11层) | 板楼,45万7,333元/平
旭辉双阳两室完善社区楼层好视野宽阔必看好房,2室1厅 | 82.19平米 | 南 | 其他 | 中楼层(共28层) | 板塔结合,89万10,829元/平
嘉园精装修一室盛和嘉园中间楼层私产能拎包入住必看好房,1室1厅 | 66.04平米 | 南 | 精装 | 29层 | 塔楼,58万8,783元/平
金瀚园毛坯二楼 , 前后无遮挡 , 标准H户型 .必看好房,2室1厅 | 92.64平米 | 南 北 | 毛坯 | 低楼层(共6层) | 板楼,103万11,119元/平
商品房小高层精装一室 户型方正 业主诚意出售必看好房,1室1厅 | 58.15平米 | 南 | 精装 | 11层 | 板塔结合,50万8,599元/平
河西 户口，楼龄新间距大，停车位充足低，楼层采光好必看好房,1室1厅 | 53.76平米 | 南 | 精装 | 高楼层(共6层) | 板楼,80万14,881元/平
福姜西里 环内洋房 三楼 明厅 满五唯一 可塑性强必看好房,1室1厅 | 61.13平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,65万10,634元/平
南北通透，电梯房，采光视野无遮挡，有车位必看好房,2室2厅 | 95.47平米 | 南 北 | 精装 | 高楼层(共9层) | 板楼,148万15,503元/平
碧珺园 精装修 全明通透 采光好 随时看房 价格可议必看好房,3室2厅 | 139.36平米 | 南 | 精装 | 高楼层(共30层) | 板楼,189万13,562元/平
金地六期 精装修 业主急售 看房随时 价格可议必看好房,3室1厅 | 89.16平米 | 南 | 精装 | 高楼层(共9层) | 暂无数据,139万15,590元/平
东户明卫 带车位 满五唯一 无贷款 带露台必看好房,3室2厅 | 125.09平米 | 南 北 | 其他 | 中楼层(共5层) | 板楼,189万15,110元/平
店长力推 瑞安里三室 带装修 拎包入住 带30平地下室必看好房,3室2厅 | 147.48平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,145万9,832元/平
贝壳金选 正荣润璟湾 前排看运河 精装修中间层两室必看好房,2室1厅 | 81.45平米 | 南 | 精装 | 中楼层(共27层) | 板楼,125万15,347元/平
本房毛坯纯新未住，房主诚心出售，有钥匙看房方便必看好房,3室1厅 | 92.14平米 | 南 北 | 毛坯 | 高楼层(共18层) | 板塔结合,91万9,877元/平
此房满五唯一，精装修，房主诚意出售，家里干净必看好房,3室2厅 | 113.02平米 | 南 | 精装 | 高楼层(共5层) | 板楼,125万11,060元/平
两室 业主自住 精装修 随时提前联系看房必看好房,2室1厅 | 77.35平米 | 南 | 其他 | 低楼层(共18层) | 板楼,66.6万8,611元/平
此房不满两年 朝向好 交房自带装修 低总价必看好房,2室1厅 | 52.43平米 | 东 南 | 其他 | 中楼层(共30层) | 板楼,36万6,867元/平
诚心出售 金友花园边户精装修视野开阔值得购买必看好房,2室1厅 | 79.39平米 | 东 南 | 精装 | 高楼层(共18层) | 板楼,75万9,448元/平
7号线两室洋房，南通通透，2楼带露台必看好房,2室2厅 | 88.39平米 | 北 南 | 其他 | 低楼层(共6层) | 板楼,96万10,861元/平
柳兰花苑 采光好 通风好 业主诚心卖必看好房,2室1厅 | 67.66平米 | 南 | 简装 | 高楼层(共6层) | 板楼,50万7,390元/平
境界梅江 2室2厅 南 北必看好房,2室2厅 | 87.25平米 | 南 北 | 其他 | 高楼层(共18层) | 板楼,155万17,766元/平
正荣精装三房 全新未启 静候主人归家必看好房,3室2厅 | 94.24平米 | 南 | 简装 | 中楼层(共24层) | 板楼,140万14,856元/平
云锦观锦园二期，采光好，精装全明大两室必看好房,2室1厅 | 86.09平米 | 南 | 精装 | 高楼层(共26层) | 板楼,106万12,313元/平
电梯房 带阳台 采光不错 停车方便 生活成本低必看好房,1室1厅 | 63.72平米 | 南 | 简装 | 高楼层(共22层) | 板塔结合,52万8,161元/平
江湾广场 70年产权 功能分明 户型使用必看好房,1室1厅 | 57.45平米 | 东南 | 精装 | 低楼层(共30层) | 板楼,70万12,185元/平
诚心出售，无土地出让金，精装 大三室必看好房,3室1厅 | 120.19平米 | 南 北 | 简装 | 中楼层(共24层) | 板塔结合,105万8,737元/平
单价1.2万的水西公园旁社区随时看房，诚意满满哈必看好房,2室2厅 | 116.87平米 | 南 北 | 简装 | 高楼层(共6层) | 板楼,110万9,413元/平
中间楼层，景观很好，看房特方便，正常税费必看好房,3室2厅 | 177.72平米 | 南 北 | 简装 | 中楼层(共24层) | 板楼,450万25,321元/平
临地铁带电梯阳面1居室楼位好近门口交通便利必看好房,1室1厅 | 55.69平米 | 南 西 | 简装 | 低楼层(共18层) | 板楼,65万11,672元/平
万科南苑一期，真翡翠系精装，电梯洋房中间层，省个税必看好房,3室2厅 | 125.11平米 | 南 北 | 精装 | 11层 | 板楼,222万17,745元/平
近南站 交通出行便利 好楼层 电梯一居室必看好房,1室1厅 | 67.13平米 | 南 北 | 其他 | 高楼层(共25层) | 板楼,56万8,343元/平
华亭佳园 电梯小高 通透户型 中间楼层 价格可议必看好房,2室2厅 | 85.66平米 | 南 北 | 简装 | 中楼层(共11层) | 板楼,110万12,842元/平
电梯洋房，全新装修家具家电全新一次没用过 拎包入住必看好房,3室1厅 | 128.89平米 | 南 北 | 精装 | 中楼层(共7层) | 板楼,247万19,164元/平
建工集团、南北通透H户型、中间位置、中间楼层必看好房,2室1厅 | 88.92平米 | 南 北 | 其他 | 中楼层(共5层) | 板楼,165万18,557元/平
旭辉御府全阳两室 总价低 过五唯一省个税必看好房,2室2厅 | 82.19平米 | 南 | 简装 | 低楼层(共28层) | 板塔结合,79万9,612元/平
地铁八号线，全明两居，业主置换改善必看好房,2室1厅 | 91.79平米 | 南 北 | 精装 | 中楼层(共5层) | 板楼,129万14,054元/平
出售亲和良园电梯房全明户型采光无遮挡必看好房,2室1厅 | 75.17平米 | 东南 南 | 其他 | 中楼层(共24层) | 板楼,64万8,515元/平
小高层 一梯两户 h户型 过五年 产权清晰必看好房,2室1厅 | 83.59平米 | 南 北 | 精装 | 11层 | 板塔结合,83万9,930元/平
金地二期H+1户型 不临街不把边 带车位急售必看好房,3室2厅 | 123.97平米 | 南 北 | 精装 | 11层 | 板楼,227万18,311元/平
萍姐推荐经典L飘窗瞰景高层，没租过诚心卖，随时看房必看好房,2室2厅 | 93.19平米 | 南 | 简装 | 高楼层(共18层) | 板塔结合,78万8,370元/平
天津南站 精装上叠边户带电梯 改善好选择必看好房,3室1厅 | 129.05平米 | 南 北 | 精装 | 中楼层(共4层) | 板塔结合,232万17,978元/平
店长力推 燕南园洋房 楼层好 位置好 精装修拎包入住必看好房,3室2厅 | 94.63平米 | 南 北 | 精装 | 高楼层(共11层) | 板楼,129万13,633元/平
西子精装三室 满五年 中楼层视野佳 下楼就是公园必看好房,3室2厅 | 138.99平米 | 南 北 | 精装 | 中楼层(共31层) | 塔楼,289万20,793元/平
保利大品牌，一期，精装修，未住过人，边户，随时看房必看好房,3室2厅 | 89.78平米 | 南 东 北 | 精装 | 18层 | 板塔结合,159万17,710元/平
好房九区低楼层南北通透 方正户型 没有遮挡采光好必看好房,2室1厅 | 90.89平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,89万9,793元/平
中楼层 经典H户型 南北通透 有车位必看好房,2室2厅 | 94.76平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,162万17,096元/平
次新房，中间楼层，价格可议，诚意出售，外环以内必看好房,1室1厅 | 65.02平米 | 南 | 其他 | 25层 | 板塔结合,50万7,690元/平
中低楼层 采光好 随时看房 诚心出售必看好房,1室1厅 | 61.63平米 | 南 | 精装 | 低楼层(共16层) | 板楼,67万10,872元/平
四室临湖 直观梅江公园 老梅江顶跃房 二片梧桐必看好房,4室2厅 | 273.2平米 | 南 北 | 毛坯 | 高楼层(共27层) | 板楼,700万25,623元/平
国风星苑一期 自住精装两室 小区中间位置 有车位必看好房,2室2厅 | 84.57平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,130万15,372元/平
满五年，出行方便，配套齐全，而且位置好必看好房,3室1厅 | 91.76平米 | 南 北 | 精装 | 低楼层(共18层) | 板楼,145万15,803元/平
中骏电梯洋房 中楼层次新房 好位置 方便看房必看好房,3室2厅 | 103.21平米 | 南 | 毛坯 | 13层 | 板楼,110万10,658元/平
只要给价就能谈，一步梅江。业主着急必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
梅江康城电梯房 低楼层 边户 靠小区门口出行便利必看好房,2室1厅 | 88.86平米 | 南 西 北 | 其他 | 低楼层(共24层) | 板楼,98万11,029元/平
珑园一期精装修三室，好楼位采光好，通透户型唯一必看好房,3室2厅 | 154.01平米 | 南 北 | 精装 | 22层 | 板塔结合,166万10,779元/平
万科翡翠嘉和 通透三室 有车位 家具家电可议必看好房,3室2厅 | 103.85平米 | 南 北 | 精装 | 25层 | 板楼,200万19,259元/平
五期酩悦,精装三室小区中间位置,中楼层,有钥匙随时看必看好房,3室2厅 | 88.85平米 | 南 北 | 精装 | 8层 | 板楼,134万15,082元/平
精装修，全阳户型，采光好，居住体验好必看好房,2室1厅 | 86.56平米 | 南 | 精装 | 中楼层(共11层) | 板楼,93万10,744元/平
美域豪庭商品房，1梯2户，出行方便，户型方正，诚意卖必看好房,2室1厅 | 99.61平米 | 南 北 | 简装 | 低楼层(共9层) | 板楼,188万18,874元/平
中北镇精装三居室 观运河 视野好必看好房,3室1厅 | 93.43平米 | 南 北 | 精装 | 中楼层(共27层) | 板楼,150万16,055元/平
中交樾公馆 万科物业 边户三居室 诚心出售 欢迎看房必看好房,3室1厅 | 97.82平米 | 南 北 | 简装 | 17层 | 板塔结合,121万12,370元/平
大楼间距，通透两居，独立餐厅，新装修，看房方便必看好房,2室2厅 | 94.46平米 | 南 北 | 精装 | 低楼层(共21层) | 板楼,91.8万9,719元/平
假日1楼带院 前后院 有钥匙随看 万科物业 全明户型必看好房,2室1厅 | 92.78平米 | 东 西 | 简装 | 低楼层(共11层) | 板塔结合,199万21,449元/平
中间楼层阳面1居室 看房方便价格可议必看好房,1室1厅 | 44.65平米 | 南 | 简装 | 中楼层(共6层) | 板楼,51.5万11,535元/平
此房满两年，东侧隔条马路是南站，小区主打公园系列必看好房,3室2厅 | 108.56平米 | 南 北 | 精装 | 21层 | 板塔结合,160万14,739元/平
金谊花园 此房无遮挡 采光好 税费少 诚心出售必看好房,2室1厅 | 81.75平米 | 南 北 | 简装 | 高楼层(共26层) | 塔楼,53万6,484元/平
